[ city, work ,  birthday, کدملی , last_name, first_name ]
["ساميار", "نوروزی", "51074823863", "1978-02-20", "اتصال استیل هما", "استان پرهام"]
["ماهان", "اشرفی", "90792622874", "1993-07-27", "سرمايه گذاري صندوق بازنشستگي كشوري", "شمال معصومه"]
["هلیا", "سمسار", "45892798683", "2003-11-11", "گسترش صنايع و خدمات کشاورزي", "غرب یوسف"]
["امیر", "تتلو", "46519294740", "1993-12-09", "قاچاقچی", "روستای محمدجواد"]
["بهار", "مهدیان", "93395191107", "2010-06-13", "قند ثابت خراسان", "استان باران"]
["مرحوم", "توپاک", "82410881555", "1974-08-12", "قاچاقچی", "روستای نازنین"]
["زینب", "هاشمی", "81041355243", "1980-03-13", "گسترش سرمايه گذاري ايران خودرو", "شهر کيان"]
["علی", "مطهری", "50534322010", "2002-09-14", "قاچاقچی", "شهرستان دانیال"]
["بنیامین", "پارسا", "75899312417", "2000-02-01", "حمل و نقل آشنا راه سماء", "شرق عرفان"]
["مهدی", "مالوردی", "92637325775", "2016-11-23", "سازمان بنادر", "اصفهان-تهران"]
["آرش", "احمدی", "97321613111", "1976-12-30", "گروه كاني های غير فلزي", "باغات محمدپارسا"]
["هانيه", "اکبر پور", "81729767675", "2019-11-14", "حمل و نقل بین المللی خلیج فارس", "استان اميرمهدي"]
["محدثه", "عزیزی", "55789494292", "2002-05-02", "روغنکشی خرمشهر", "جنوب هلیا"]
["فاطمه", "شادروان", "46091309461", "2009-03-04", "قند شيروان قوچان وبجنورد", "غرب زینب"]
["رقیه", "وثاق", "31190689286", "1993-07-11", "کشت وصنعت پیوند هراز", "شرق محمدامين"]
["كیان", "اشرفی", "60998193625", "2019-04-16", "قند هكمتان", "بندر نرگس"]
["عبدالناصر", "همتی", "55059926183", "1996-07-05", "قاچاقچی", "شهر آرتين"]
["رضا", "رمضانی", "46730468386", "2006-04-29", "گمرک", "بارسلونا"]
["يسنا", "صارمی", "92132521081", "1980-05-24", "گروه صنعتي ناب", "جنوب فاطمه"]
["آرش", "عباسی", "68457066061", "2007-04-20", "بازرسي مهندسي و صنعتي ايران", "غرب مبين"]
["سارا", "منصوری", "90208511396", "1972-04-01", "آریا بارون توس", "روستای اميرمهدي"]
["دانیال", "محجوب", "10969146971", "2001-05-01", "لامیران – تیغ ایران", "شهر امیرمحمد"]
["محمدعلي", "جعفر پور", "70232533224", "2011-09-15", "فنر سازی زر گلپايگان", "شهر دانیال"]
["آرمین", "رودگر", "31744245149", "1994-06-22", "مديريت توسعه صنايع پتروشيمي", "دهستان حنانه"]
["امیرمهدی", "دایی", "30422525320", "2003-04-06", "آریا رزین", "استان دانیال"]
